Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC-01,High,Форма авторизации,"Успешная авторизация пользователя с ипользованием данных ""имя пользователя"" и ""Пароль""","1. Открыт сайт ""https://try.vikunja.""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Имя пользователя или Email""=Ольга
2. Поле ""Пароль""=123456
   ","1. Ввести значения из тестовых данных в поле ""Имя пользователя или Email""; 
2. Ввести значения из тестовых данных в поле ""Пароль"" ;
3. Нажать кнопку ""Войти""","1. Введенное значение отображено в поле ""Имя пользователя или Email"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
TS-01,TC-02,High,Форма авторизации,Успешная авторизация пользователя с ипользованием данных по Email и Пароль,"1. Открыт сайт ""https://try.vikunja.""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Имя пользователя или Email""=Ольга@mail.ru
2. Поле ""Пароль""=123456
   ","1. Ввести значения из тестовых данных в поле ""Имя пользователя или Email""; 
2. Ввести значения из тестовых данных в поле ""Пароль"" ;
3. Нажать кнопку ""Войти""","1.Введенное значение отображено в поле ""Имя пользователя или Email"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
TS-01,TC-03,High,Форма авторизации,"Неуспешная авторизация при пустых полях ""Имя пользователя или Email"" и Пароль","1. Открыт сайт ""https://try.vikunja.""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Имя пользователя или Email"":
2. Поле ""Пароль"":
   ","1.Оставить поле ""Имя пользователя или Email"" пустым; 
2. Оставить  поле ""Пароль"" пустым;
3. Нажать кнопку ""Войти""","1. Пустое поле ""Имя пользователя или Email"";
2. Пустое поле ""Пароль"";
3. Пользователь не авторизован в систему. Подсечиваются поля для заполнения.Система отображает сообщение об ошибки о вводе данных.",
TS-01,TC-04,High,Форма авторизации,"Неуспешная авторизация при пустом поле ""Пароль""","1. Открыт сайт ""https://try.vikunja.""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Имя пользователя или Email""=Маша
2. Поле ""Пароль"" ","1. Ввести значения из тестовых данных в поле ""Имя пользователя или Email"";
2. Оставить поле ""Пароль"" пустым;
3. Нажать кнопку ""Войти""","1. Введенное значение отображено в поле ""Имя пользователя или Email"";
2.Пустое поле ""Пароль"";
3. Пользователь не авторизован в систему. Подсечиваются поле для заполнения",
TS-01,TC-05,High,Форма авторизации,"Неуспешная авторизация при пустом поле  ""Имя пользователя или Email""","1. Открыт сайт ""https://try.vikunja.""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Имя пользователя или Email"",
2. Поле ""Пароль"" =1234567","1.Оставить поле ""Имя пользователя или Email"" пустым;
2. Ввести значения из тестовых данных в поле ""Пароль"" ;
3. Нажать кнопку ""Войти""
","1. Пустое поле ""Имя пользователя или Email"";
2.Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Подсечиваются поле для заполнения",
TS-01,TC-06,High,Форма авторизации,Неуспешная авторизация незарегистрированного пользователя,"   1. Открыт сайт ""https://try.vikunja.""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Имя пользователя или Email""=Лиза
2. Поле ""Пароль""=121212
   ","1. Ввести значения из тестовых данных в поле ""Имя пользователя или Email""; 
2. Ввести значения из тестовых данных в поле ""Пароль"" ;
3. Нажать кнопку ""Войти""","1. Введенное значение отображено в поле ""Имя пользователя или Email"";
2. Введенное значение отображено в поле ""Пароль"";
3. Появляется сообщение. Пользователь не зарегистрирован в системе ",
TS-01,TC-07,High,Форма авторизации,Наличие звездочки для обязательных полей,"1. Открыт сайт ""https://try.vikunja.""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Имя пользователя или Email"":
2. Поле ""Пароль"":
   ","1.Пустое поле ""Имя пользователя или Email""; 
2. Пустое  поле ""Пароль"";
3. Нажать кнопку ""Войти""","1. Наличие звездочки напротив  ""Имя пользователя или Email"" для обязательного заполнения;
2. Наличие звездочки напротив ""Пароль для обязательного заполнения;
3. Появляется сообщение о заполнении поля ""Имя пользователя или Email"" и ""Пароль""",
TS-01,TC-08,High,Форма авторизации,"Неуспешная авторизация невалидными данными ""Имя пользователя или Email"" и Пароль","1. Открыт сайт ""https://try.vikunja.""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Имя пользователя или Email""=Olga@mail.ru
2. Поле ""Пароль""=1234512345
   ","1. Ввести значения из тестовых данных в поле ""Имя пользователя или Email""; 
2. Ввести значения из тестовых данных в поле ""Пароль"" ;
3. Нажать кнопку ""Войти""","1.  Введенное значение отображено в поле ""Имя пользователя или Email"";
2.  Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Подсечиваются поля для заполнения.Система отображает сообщение об ошибки о вводе данных.",
TS-01,TC-09,High,Форма авторизации,"Неуспешная авторизация при невалидном значении поля ""Пароль""","1. Открыт сайт ""https://try.vikunja.""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Имя пользователя или Email""=Ольга
2. Поле ""Пароль""=1234512345
   ","1.Оставить поле ""Имя пользователя или Email"" пустым; 
2. Ввести значения из тестовых данных в поле ""Пароль"" ;
3. Нажать кнопку ""Войти""","1.  Введенное значение отображено в поле ""Имя пользователя или Email"";
2.  Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Подсечиваются поля для заполнения.Система отображает сообщение об ошибки о вводе данных.",
